"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
244,27.40350905,60.8262503,0,0,0,76,0,11,9,6,102
245,22.906551,61.7930490454545,0,0,0,12,0,1,1,0,14
246,24.4838155714286,61.4183455,0,0,0,44,0,23,12,8,87
247,24.9450123125,63.77387375,0,0,0,10,0,46,1,0,57
248,24.80498,62.9210649166667,0,0,0,11,0,2,0,0,13
249,23.2110149,59.9841673,3,0,0,36,0,40,4,11,94
250,26.5639444166667,62.5992523333333,0,0,0,20,0,1,0,2,23
251,26.57292675,61.378088375,0,0,0,18,0,0,0,0,18
252,26.1908735,61.825537,0,0,0,4,0,0,0,0,4
253,25.6698568,65.0615571,1,0,0,174,0,42,40,10,267
254,27.47228725,61.67380625,0,0,0,22,0,13,4,4,43
255,22.3652365,61.8488805,0,0,0,2,0,0,1,0,3
256,28.540826,64.3925386666667,1,0,0,15,0,0,0,1,17
257,27.6247205625,63.3066689375,0,1,0,54,0,7,8,3,73
258,22.3736962333333,63.0274878,0,0,0,29,0,5,2,1,37
259,30.973905,62.7902115,0,0,0,8,0,0,0,0,8
260,28.9445663333333,61.30714,0,0,0,7,0,0,0,0,7
261,23.9365490833333,60.2478908333333,0,0,0,19,0,4,3,0,26
262,25.110007,61.7697805,0,0,0,11,0,0,0,0,11
263,22.6568345,63.74610725,3,0,0,1,0,0,0,0,4
264,30.0640803333333,62.7601628333333,1,0,0,107,0,34,1,6,149
265,28.066699875,62.253877875,0,0,0,9,0,0,1,0,10
266,28.4906765,63.0792555,0,0,0,12,0,0,1,1,14
267,29.239657,63.2391993333333,0,0,0,20,0,0,2,4,26
268,24.3827615,62.155138125,0,0,0,9,0,0,0,0,9
269,23.7356986666667,61.7015198333333,1,0,1,183,0,75,35,14,309
270,25.7792861666667,63.685207,0,0,0,11,0,2,0,0,13
271,20.974279,59.8999925,0,0,0,2,0,0,0,0,2
272,27.650863,64.3893035,0,0,0,13,0,7,2,1,23
273,27.1779376666667,62.5906931666667,0,0,0,18,0,1,1,1,21
274,21.31798925,62.9482220625,6,0,0,28,0,1,3,1,39
275,26.5115505,63.3984755,0,0,0,26,0,1,0,1,28
276,24.64024425,65.745086,0,0,0,5,0,11,3,8,27
277,22.454542,59.9824385,0,0,0,2,0,0,0,0,2
278,27.38374175,66.910907,0,0,0,14,0,0,0,0,14
279,29.8004771,61.9685923,0,0,0,25,0,1,2,0,28
280,25.050163,67.773235,0,0,0,20,0,2,0,0,22
281,24.205622,67.2883735,0,0,0,3,0,0,0,0,3
282,23.107958,60.6728235,0,0,0,1,0,0,0,0,1
283,29.6526805,64.1693755,0,0,0,19,0,1,1,1,22
